,,,,,,,,
,filename_prefix,livetime,,,,,,
,lux10_20130423T1410,3.86,,,,,,
,lux10_20130423T1806,4.29,,,,,,
,lux10_20130423T2231,7.7,,,,,,
,lux10_20130424T0623,2.81,,,,,,
,lux10_20130424T1027,2.08,,,,,,
,lux10_20130424T1236,0.61,,,,,,
,lux10_20130424T1315,0.83,,,,,,
,lux10_20130424T1406,3.45,,,,,,
,lux10_20130424T1740,4.74,,,,,,
,lux10_20130424T2231,7.82,,,,,,
,lux10_20130425T1017,0.39,,,,,,
,lux10_20130425T1047,4.56,,,,,,
,lux10_20130425T1530,7.23,,,,,,
,lux10_20130425T2253,7.55,,,,,,
,lux10_20130426T0636,3.15,,,,,,
,lux10_20130426T0951,0.45,,,,,,
,lux10_20130426T1019,5.93,,,,,,
,lux10_20130426T1625,6.85,,,,,,
,lux10_20130426T2325,7.95,,,,,,
,lux10_20130427T0732,3.09,,,,,,
,lux10_20130427T1042,2,,,,,,
,lux10_20130428T0050,7.84,,,,,,
,lux10_20130428T0851,6.9,,,,,,
,lux10_20130428T1554,7.52,,,,,,
,lux10_20130428T2333,6.72,,,,,,
,lux10_20130429T0625,7.66,,,,,,
,lux10_20130429T1447,6.16,,,,,,
,lux10_20130429T2108,4.21,,,,,,
,lux10_20130430T0126,6.57,,,,,,
,lux10_20130430T0808,0.09,,,,,,
,lux10_20130430T0851,0.77,,,,,,
,lux10_20130430T0953,4.45,,,,,,
,lux10_20130430T1714,7.03,,,,,,
,lux10_20130501T0024,5.84,,,,,,
,lux10_20130501T0621,2.6,,,,,,
,lux10_20130501T0943,2.01,,,,,,
,lux10_20130501T1148,1.4,,,,,,
,lux10_20130501T1336,1.49,,,,,,
,lux10_20130501T1508,5.34,,,,,,
,lux10_20130501T2037,7.94,,,,,,
,lux10_20130502T1403,0.08,,,,,,
,lux10_20130502T1536,0.69,,,,,,
,lux10_20130502T2051,1.95,,,,,,
,lux10_20130502T2250,7.92,,,,,,
,lux10_20130503T0654,1.2,,,,,,
,lux10_20130503T1457,4.95,,,,,,
,lux10_20130503T2002,3.87,,,,,,
,lux10_20130503T2359,8.05,,,,,,
,lux10_20130504T0835,6.73,,,,,,
,lux10_20130504T1527,8.18,,,,,,
,lux10_20130504T2355,7.14,,,,,,
,lux10_20130505T0712,7.95,,,,,,
,lux10_20130505T1517,7.74,,,,,,
,lux10_20130505T2310,6.92,,,,,,
,lux10_20130506T0612,7.13,,,,,,
,lux10_20130506T1328,3.4,,,,,,
,lux10_20130506T1658,6.29,,,,,,
,lux10_20130506T2323,7.03,,,,,,
,lux10_20130507T0633,7.98,,,,,,
,lux10_20130507T1441,8.03,,,,,,
,lux10_20130507T2253,8.02,,,,,,
,lux10_20130508T0702,8.01,,,,,,
,lux10_20130508T1511,7.42,,,,,,
,lux10_20130508T2244,8.12,,,,,,
,lux10_20130509T0703,3.2,,,,,,
,lux10_20130509T1237,5.94,,,,,,
,lux10_20130509T1840,4.28,,,,,,
,lux10_20130509T2301,7.88,,,,,,
,lux10_20130510T0703,5.68,,,,,,
,lux10_20130511T0014,8,,,,,,
