Enr	B8	hep	DSN	atm
   1.0e-1	   5.47945205e-03  8.21917808e-06  1.0958904e-07  8.493150684e-09
   2.5000000e-01   3.5867835e-03   6.4505447e-06   7.6526090e-08   8.2071949e-09
   5.0000000e-01   2.0968977e-03   4.8457498e-06   5.4003921e-08   8.0547965e-09
   7.5000000e-01   1.2363625e-03   3.6750982e-06   4.1543567e-08   7.9047416e-09
   1.0000000e+00   7.2029596e-04   2.7938202e-06   3.3433689e-08   7.7569995e-09
   1.2500000e+00   4.0782897e-04   2.1204646e-06   2.7675887e-08   7.6115397e-09
   1.5000000e+00   2.2210774e-04   1.6016216e-06   2.3363661e-08   7.4683323e-09
   1.7500000e+00   1.1509599e-04   1.2008508e-06   2.0014774e-08   7.3273476e-09
   2.0000000e+00   5.5634647e-05   8.9223430e-07   1.7343878e-08   7.1885563e-09
   2.2500000e+00   2.4229010e-05   6.5540501e-07   1.5170496e-08   7.0519294e-09
   2.5000000e+00   9.1909535e-06   4.7474718e-07   1.3373261e-08   6.9174383e-09
   2.7500000e+00   2.9255001e-06   3.3812089e-07   1.1866919e-08   6.7850624e-09
   3.0000000e+00   7.6908837e-07   2.3593464e-07   1.0589800e-08   6.6554367e-09
   3.2500000e+00   1.5858270e-07   1.6064181e-07   9.4962545e-09   6.5294636e-09
   3.5000000e+00   2.6022761e-08   1.0612844e-07   8.5520495e-09   6.4069689e-09
   3.7500000e+00   3.2820287e-09   6.7524563e-08   7.7309668e-09   6.2877448e-09
   4.0000000e+00   2.7584684e-10   4.0998182e-08   7.0124923e-09   6.1716100e-09
   4.2500000e+00   6.0918315e-12   2.3496813e-08   6.3803626e-09   6.0584060e-09
   4.5000000e+00   7.9299880e-15   1.2549811e-08   5.8213956e-09   5.9479921e-09
   4.7500000e+00   2.9505847e-18   6.1062384e-09   5.3249187e-09   5.8402433e-09
   5.0000000e+00   0.0000000e+00   2.5591294e-09   4.8821504e-09   5.7350458e-09
   5.2500000e+00   0.0000000e+00   8.2693244e-10   4.4858080e-09   5.6322948e-09
   5.5000000e+00   0.0000000e+00   1.6416163e-10   4.1298415e-09   5.5318937e-09
   5.7500000e+00   0.0000000e+00   8.5446756e-12   3.8091318e-09   5.4337517e-09
   6.0000000e+00   0.0000000e+00   2.0940354e-14   3.5193943e-09   5.3377854e-09
   6.2500000e+00   0.0000000e+00   1.1869352e-17   3.2569652e-09   5.2439166e-09
   6.5000000e+00   0.0000000e+00   0.0000000e+00   3.0186747e-09   5.1520704e-09
   6.7500000e+00   0.0000000e+00   0.0000000e+00   2.8018539e-09   5.0621788e-09
   7.0000000e+00   0.0000000e+00   0.0000000e+00   2.6041458e-09   4.9741760e-09
   7.2500000e+00   0.0000000e+00   0.0000000e+00   2.4235233e-09   4.8880009e-09
   7.5000000e+00   0.0000000e+00   0.0000000e+00   2.2581903e-09   4.8035945e-09
   7.7500000e+00   0.0000000e+00   0.0000000e+00   2.1065970e-09   4.7209021e-09
   8.0000000e+00   0.0000000e+00   0.0000000e+00   1.9673559e-09   4.6398707e-09
   8.2500000e+00   0.0000000e+00   0.0000000e+00   1.8392572e-09   4.5604508e-09
   8.5000000e+00   0.0000000e+00   0.0000000e+00   1.7212224e-09   4.4825951e-09
   8.7500000e+00   0.0000000e+00   0.0000000e+00   1.6122929e-09   4.4062584e-09
   9.0000000e+00   0.0000000e+00   0.0000000e+00   1.5116223e-09   4.3313981e-09
   9.2500000e+00   0.0000000e+00   0.0000000e+00   1.4184664e-09   4.2579739e-09
   9.5000000e+00   0.0000000e+00   0.0000000e+00   1.3321437e-09   4.1859466e-09
   9.7500000e+00   0.0000000e+00   0.0000000e+00   1.2520523e-09   4.1152790e-09
   1.0000000e+01   0.0000000e+00   0.0000000e+00   1.1776654e-09   4.0459366e-09
   1.0250000e+01   0.0000000e+00   0.0000000e+00   1.1084944e-09   3.9778852e-09
   1.0500000e+01   0.0000000e+00   0.0000000e+00   1.0441066e-09   3.9110928e-09
   1.0750000e+01   0.0000000e+00   0.0000000e+00   9.8411292e-10   3.8455286e-09
   1.1000000e+01   0.0000000e+00   0.0000000e+00   9.2816124e-10   3.7811634e-09
   1.1250000e+01   0.0000000e+00   0.0000000e+00   8.7592478e-10   3.7179685e-09
   1.1500000e+01   0.0000000e+00   0.0000000e+00   8.2711743e-10   3.6559173e-09
   1.1750000e+01   0.0000000e+00   0.0000000e+00   7.8147740e-10   3.5949843e-09
   1.2000000e+01   0.0000000e+00   0.0000000e+00   7.3876087e-10   3.5351444e-09
   1.2250000e+01   0.0000000e+00   0.0000000e+00   6.9874697e-10   3.4763737e-09
   1.2500000e+01   0.0000000e+00   0.0000000e+00   6.6124154e-10   3.4186498e-09
   1.2750000e+01   0.0000000e+00   0.0000000e+00   6.2605719e-10   3.3619498e-09
   1.3000000e+01   0.0000000e+00   0.0000000e+00   5.9302578e-10   3.3062518e-09
   1.3250000e+01   0.0000000e+00   0.0000000e+00   5.6199535e-10   3.2515348e-09
   1.3500000e+01   0.0000000e+00   0.0000000e+00   5.3282699e-10   3.1977782e-09
   1.3750000e+01   0.0000000e+00   0.0000000e+00   5.0539062e-10   3.1449615e-09
   1.4000000e+01   0.0000000e+00   0.0000000e+00   4.7956771e-10   3.0930649e-09
   1.4250000e+01   0.0000000e+00   0.0000000e+00   4.5524940e-10   3.0420690e-09
   1.4500000e+01   0.0000000e+00   0.0000000e+00   4.3233338e-10   2.9919545e-09
   1.4750000e+01   0.0000000e+00   0.0000000e+00   4.1072589e-10   2.9427026e-09
   1.5000000e+01   0.0000000e+00   0.0000000e+00   3.9034261e-10   2.8942956e-09
   1.5250000e+01   0.0000000e+00   0.0000000e+00   3.7110611e-10   2.8467163e-09
   1.5500000e+01   0.0000000e+00   0.0000000e+00   3.5293994e-10   2.7999470e-09
   1.5750000e+01   0.0000000e+00   0.0000000e+00   3.3577531e-10   2.7539710e-09
   1.6000000e+01   0.0000000e+00   0.0000000e+00   3.1955305e-10   2.7087729e-09
   1.6250000e+01   0.0000000e+00   0.0000000e+00   3.0420833e-10   2.6643359e-09
   1.6500000e+01   0.0000000e+00   0.0000000e+00   2.8969213e-10   2.6206460e-09
   1.6750000e+01   0.0000000e+00   0.0000000e+00   2.7594824e-10   2.5776871e-09
